id,organization,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances,balance1_type_code,balance1_version,balance1_audit_type,balance1_valid_until_date,balance1_valid_until_year,balance1_year,balance1_score,balance1_documents,balance2_type_code,balance2_version,balance2_audit_type,balance2_valid_until_date,balance2_valid_until_year,balance2_year,balance2_score,balance2_documents,balance3_type_code,balance3_version,balance3_audit_type,balance3_valid_until_date,balance3_valid_until_year,balance3_year,balance3_score,balance3_documents,balance4_type_code,balance4_version,balance4_audit_type,balance4_valid_until_date,balance4_valid_until_year,balance4_year,balance4_score,balance4_documents,balance5_type_code,balance5_version,balance5_audit_type,balance5_valid_until_date,balance5_valid_until_year,balance5_year,balance5_score,balance5_documents,balance6_type_code,balance6_version,balance6_audit_type,balance6_valid_until_date,balance6_valid_until_year,balance6_year,balance6_score,balance6_documents,balance7_type_code,balance7_version,balance7_audit_type,balance7_valid_until_date,balance7_valid_until_year,balance7_year,balance7_score,balance7_documents,balance8_type_code,balance8_version,balance8_audit_type,balance8_valid_until_date,balance8_valid_until_year,balance8_year,balance8_score,balance8_documents
92439,Trasub La Vila S.L.,ES,Spain,03570,Villajoyosa,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133348,Treebu Srl società benefit,IT,Italy,37133,Verona,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1.0,M5.0,Full,Peer,16-06-2024,2024.0,2022.0,236,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91324,TRESS Brüder (TRESS Lebensmittel GmbH & Co. KG & Tress Gastronomie GmbH & Co. KG),DE,Germany,72534,Hayingen-Ehestetten,Mid (≤250),51-100,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1.0,M5.0,Full,On site,31-03-2025,2025.0,2023.0,445,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36883,Trigon Entwicklungsberatung registrierte Genossenschaft mit beschränkter Haftung,AT,Austria,8020,Graz,Micro (≤10),3-10,Consulting,Beratung / Consulting,1.0,4.0,Standard,Desk,31-12-2013,2013.0,2011.0,477,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14690,Trumer Privatbrauerei,AT,Austria,5162,Obertrum,Small (≤50),26-50,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,3.0,4.1,Standard,Peer,30-09-2018,2018.0,2016.0,427,Report+Certificate,M5.0,Compact,On site,30-06-2021,2021.0,2019.0,329.0,Report+Attestation,M5.0,Compact,On site,30-06-2025,2025.0,2023.0,375.0,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40976,Tut-All Software GmbH,DE,Germany,76275,Ettlingen,Micro (≤10),1-2,EDP / IT,EDV / IT,1.0,4.1,Standard,Desk,30-06-2015,2015.0,2013.0,461,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30333,two4science,DE,Germany,64297,Darmstadt,Micro (≤10),3-10,Chemistry,Chemie,1.0,M5.0,Compact,Peer,30-04-2023,2023.0,2021.0,423,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132121,TZ Net GmbH,DE,Germany,44147,Dortmund,Micro (≤10),1-2,Public Administration,Öffentliche Verwaltung,1.0,M5.0,Full,Peer,25-10-2025,2025.0,2023.0,182,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62183,Uitgeverij Genoeg,NL,Netherlands,5342 AL,Oss,Micro (≤10),1-2,Media,Medien,1.0,M5.0,Compact,Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14719,Ulenspiegel Druck GmbH & Co. KG,DE,Germany,82346,Andechs,Micro (≤10),3-10,Printing / Paper / Packaging,Druck / Papier / Verpackung,2.0,4.1,Standard,Desk,30-06-2018,2018.0,2016.0,668,Report+Attestation,M5.0,Compact,Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
