id,organization,organization_link,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances_org_table,balance_scores
14884,Arbatherm,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=5d0zm,CH,Switzerland,8408,Winterthur,Micro (≤10),3-10,Electrical / Electronics,Elektro / Elektronik,1,{'30-04-2020': 482}
14822,arbeit plus Salzburg,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=etuco,AT,Austria,5020,Salzburg,Micro (≤10),1-2,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1,{'30-03-2021': 482}
166562,Arch Joint Vision – Noriaki Ikeda,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=rzuqj,DE,Germany,79183,Waldkirch,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,
14737,Architekturbüro Mießl GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=brwy0,DE,Germany,86529,Schrobenhausen Sandzell,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1,{'30-09-2022': 278}
44670,ARGEkultur gemeinnützige GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=u5bvz,AT,Austria,5020,Salzburg,Small (≤50),11-25,Art / Culture / Entertainment,Kunst / Kultur / Unterhaltung,1,{'06-09-2018': 521}
37707,Armin Hipper – Büro für Nachhaltigkeit & Wirtschaftsethik,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xcnhm,DE,Germany,88099,Neukirch (Bodenseekreis),Micro (≤10),1-2,Consulting,Beratung / Consulting,2,"{'24-03-2016': 262, '30-06-2018': 463}"
14966,Armin Schmelzle,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=87tqg,AT,Austria,5161,Elixhausen,Micro (≤10),1-2,Consulting,Beratung / Consulting,2,"{'30-11-2017': 382, '31-01-2022': 464}"
127521,Armin Schmelzle Entwicklungsberatung,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ww7o4,AT,Austria,5161,Elixhausen,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-07-2025': 468}
124478,ars scribendi,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ror7r,DE,Germany,30177,Hannover,Micro (≤10),1-2,Services,Dienstleistung,1,{'31-08-2025': 245}
80265,Artist MesseService und -Bau GmbH & Co. KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=q4921,DE,Germany,33104,Paderborn,Small (≤50),11-25,Craft,Handwerk,1,{'31-12-2024': 584}
92489,ArtMarketing SL,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=z7b7d,ES,Spain,28224,Pozuelo del Alarcón,Micro (≤10),1-2,Other,Sonstige,2,"{'16-12-2015': 625, '25-05-2018': 688}"
109043,ASC Göttingen von 1846 e.V.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7u7pk,DE,Germany,37083,Göttingen,Mid (≤250),51-100,Associations / Societies,Vereine,1,{'28-02-2026': 474}
67207,Atelier Marianna,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=25ry6,AT,Austria,9900,Lienz,Micro (≤10),3-10,Craft,Handwerk,2,"{'31-10-2020': 517, '31-05-2024': 497}"
135370,Atlantic Hotel Sail City GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=v7rr2,DE,Germany,28789,Bremerhaven,Mid (≤250),101-250,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,
145404,audit.innovation GmbH Wirtschaftsprüfungsgesellschaft,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=hb6v0,DE,Germany,70182,Deutschland,Micro (≤10),1-2,Finance,Finanzen,1,{'30-11-2025': 200}
14891,AUROBIA GmbH & Co KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=49rs6,DE,Germany,86919,Utting,Micro (≤10),1-2,Consulting,Beratung / Consulting,3,"{'31-05-2018': 141, '30-04-2023': 151, '30-11-2023': 191}"
140968,authento Vera Boos,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=1oofu,DE,Germany,85356,Freising,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,
25099,Auto Rainer GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=bn52,IT,Italy,39040,Ratschings,Micro (≤10),3-10,Transport / Logistics,Verkehr / Transport / Logistik,1,{'21-12-2022': 354}
31380,avance Unternehmensberatung GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=3l27k,CH,Switzerland,8832,Feusisberg,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'30-04-2023': 310}
17277,Avesani Marta,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7m76f,IT,Italy,37124,Verona,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,
34415,AXICA Kongress- und Tagungszentrum  GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=otgiq,DE,Germany,10117,Berlin,Small (≤50),11-25,Seminar / Fair Provider,Seminar- / Messeanbieter,1,{'30-09-2023': 390}
164408,AXICA Kongress- und Tagungszentrum GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=l9ipi,DE,Germany,1017,Berlin,Small (≤50),26-50,Services,Dienstleistung,1,
133341,Azienda Agricola Foradori S.s,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=hallt,IT,Italy,38017,Mezzolombardo (TN),Small (≤50),11-25,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,
127354,B.A.U.M. Consult GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=5lwrh,DE,Germany,59073,Hamm,Small (≤50),11-25,Consulting,Beratung / Consulting,2,"{'30-11-2020': 430, '31-08-2025': 513}"
40970,b.it GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=1ky8p,AT,Austria,5300,Hallwang,Micro (≤10),3-10,EDP / IT,EDV / IT,4,"{'30-12-2013': 516, '30-06-2015': 497, '30-06-2018': 716, '28-02-2025': 598}"
14797,Bäckerei Bahde GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=fvml0,DE,Germany,21218,Seevetal,Small (≤50),26-50,Trade / Consumption,Handel / Konsum,1,{'30-11-2021': 609}
14722,Backhaus Cramer,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=i0xuu,DE,Germany,80313,Gauting,Small (≤50),11-25,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'30-04-2021': 474}
14666,Backkultur,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=1ohss,AT,Austria,6811,Göfis,Micro (≤10),3-10,Craft,Handwerk,1,{'31-05-2021': 453}
129947,Backwarenbetriebe Herbert Nelles OHG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=pd6nq,DE,Germany,53332,Bornheim,Mid (≤250),51-100,Craft,Handwerk,1,{'31-05-2025': 256}
80263,Barghorn GmbH & Co. KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=lerbm,DE,Germany,26919,Brake,Mid (≤250),51-100,Machinery & Plant Engineering,Maschinen- & Anlagenbau,1,{'31-12-2024': 707}
52502,Baril Coatings,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=93rxv,NL,Netherlands,5234 GL,’s-Hertogenbosch,Mid (≤250),51-100,Chemistry,Chemie,2,{'31-01-2023': 413}
118474,base – homes for students GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=bi5s9,AT,Austria,1190,Wien,Small (≤50),11-25,Real Estate / Facility Management,Immobilien / Facility Management,1,{'31-07-2025': 413}
44805,basilikum – soulfood,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7jcnp,AT,Austria,6830,Rankweil,Micro (≤10),3-10,Trade / Consumption,Handel / Konsum,1,{'30-12-2018': 581}
37265,Baukult ZT GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=s1zxm,AT,Austria,1150,Wien,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1,{'30-06-2023': 499}
44680,BAUMGARTNER & CO GMBH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=gxci9,AT,Austria,4553,Schlierbach,Small (≤50),26-50,Construction / Architecture,Baugewerbe / Architektur,1,{'31-12-2016': 331}
14893,Bausinger GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=qmdpv,DE,Germany,72479,Straßberg,Micro (≤10),1-2,Services,Dienstleistung,2,"{'30-09-2020': 517, '30-06-2023': 616}"
14696,Bayer und Hochdörffer GbR,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7qrmn,DE,Germany,82380,Böbing-Grambach,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'30-06-2021': 230}
34938,be4energy GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=sqnhl,DE,Germany,12555,Berlin,Micro (≤10),3-10,Energy,Energiewirtschaft,2,{'30-09-2023': 239}
135008,Bean United GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=al3fx,DE,Germany,82041,Oberhaching,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,2,"{'31-10-2022': 357, '30-09-2025': 374}"
37753,Beat Stroo,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=f7iu4,CH,Switzerland,4312,Magden,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-12-2015': 542}
84520,"becker druck, F.W. Becker G,bH",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=grl19,DE,Germany,59821,Arnsberg,Small (≤50),26-50,Printing / Paper / Packaging,Druck / Papier / Verpackung,1,{'31-12-2024': 254}
92608,beckers bester GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=a4kqj,DE,Germany,37176,Nörten-Hardenberg,Mid (≤250),101-250,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-10-2024': 255}
111951,Beethoven-Haus Bonn,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=d09wd,DE,Germany,53111,Bonn,Small (≤50),11-25,Art / Culture / Entertainment,Kunst / Kultur / Unterhaltung,1,{'31-05-2025': 370}
164461,Beigel Steuerberater PartG mbB,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=857ri,DE,Germany,82319,Starnberg,Small (≤50),11-25,Fiscal Advice / Auditing,Steuerberatung / Wirtschaftsprüfung,1,
14824,Berg Anne,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=bx48b,DE,Germany,53227,Bonn,Micro (≤10),1-2,Consulting,Beratung / Consulting,2,"{'28-02-2017': 497, '30-09-2020': 557}"
85041,"Berglandkräuter aus Hessen, M. Rehs & U. Kern GbR",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=agwkq,DE,Germany,36179,Bebra-Braunhausen,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-12-2024': 492}
14746,BerlinBees Schüler*Innengenossenschaft,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=mcpr7,DE,Germany,10829,Berlin,Micro (≤10),1-2,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'30-09-2022': 386}
104183,Bernd Hümmer (freiberufliche Tätigkeit) nicht in obigem Register,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=peo7h,DE,Germany,90537,Feucht,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-07-2025': 416}
14667,Bernhard Oberrauch,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=n0sbz,IT,Italy,39100,Bozen,Micro (≤10),1-2,Construction / Architecture,Baugewerbe / Architektur,1,{'31-03-2023': 520}
55121,Beschäftigungsförderung Göttingen (kAöR),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=it46b,DE,Germany,37073,Göttingen,Mid (≤250),51-100,Other,Sonstige,1,{'30-11-2023': 427}
44685,BestPractice AG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=6vn4e,CH,Switzerland,8500,Frauenfeld,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'30-12-2015': 269}
14894,BfG – Genossenschaft für Gemeinwohl,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7pp1w,AT,Austria,1050,Wien,Small (≤50),11-25,Services,Dienstleistung,1,{'31-01-2020': 495}
