id,organization,country,postal_code,city,company_size,economic_sector
44781,IBOR AG CNC-Zerspanung,CH,6218,Ettiswil,(3)11-25,Industrie
62113,ICF Germany Charter Chapter e.V,DE,82024,Taufkirchen,(2)3-10,Beratung / Consulting
101568,iCONDU GmbH,DE,85055,Ingolstadt,(2)3-10,Beratung / Consulting
33281,IFSM,DE,D-56203,Höhr-Grenzhausen,(2)3-10,Beratung / Consulting
35299,IFUB GmbH,DE,80331,München,,Baugewerbe / Architektur
19536,Ilse Lang,AT,8051,Lieboch,(1)1-2,Beratung / Consulting
135374,Im-jaich oHG,DE,28789,Bremerhaven,(6)101-250,Tourismus / Hotel / Gastronomie
92497,Imanol Medrano de Azpeitia,ES,28014,Madrid,(1)1-2,Otros
80677,Imdahl-Institut,DE,78628,Rottweil,(1)1-2,Beratung / Consulting
44783,Impact Hub Munich GmbH,DE,81371,München,(2)3-10,Sonstige Branchen
92435,IMPRESUM GRAFICAS LITOLEMA,S.L.,ES,46006,Valencia,(8) Todas las tallas
61933,IMPROVE-Bildung mit Zukunft,AT,1220,Wien,(1)1-2,Bildung / Universität / FH / Schulen
50336,IMPULSGEBEREI,DE,83734,Hausham,(1)1-2,Beratung / Consulting
140188,IMPULSGEBEREI,DE,83734,Hausham,(1)1-2,Beratung / Consulting
126541,Indaco Team,IT,//,//,(2)3-10,Consigli / Consulenza
14796,INFO GmbH,DE,35423,Lich,(2)3-10,Beratung / Consulting
92347,INFORATGE S.C,ES,46680,Algemesi,(8) Todas las tallas,Otros
19540,Ing. Robert Graf Unternehmensberatung,AT,1230,Wien,(1)1-2,Beratung / Consulting
14767,Ing. Robert Thoma G.m.b.H.,AT,5531,Eben/Pg.,(1)1-2,Baugewerbe / Architektur
14743,Ingenieurbüro für Bautechnik,DE,58300,Wetter (Ruhr),(1)1-2,Baugewerbe / Architektur
131829,Ingenieurbüro Mayer AG,DE,87724,Ottobeuren,(6)101-250,Baugewerbe / Architektur
36865,Ingenieurbüro Schlagmann,DE,41460,Neuss,(1)1-2,Beratung / Consulting
92411,Iniciativas industriales de Tenerife Siglo XXI S.l,ES,38400,Puerto de la Cruz,(8) Todas las tallas,Otros
82684,innovia gem GmbH,AT,6020,Innsbruck,(4)26-50,Gesundheitswesen / Soziales / Pflege
33004,inoio gmbh,DE,20357,Hamburg,(3)11-25,EDV / IT
83223,Institut für Nachhaltigkeit – Institute for Sustainability,DE,90402,Nürnberg,(1)1-2,Beratung / Consulting
36733,Institut für Zukunftskompetenzen e.U.,AT,9556,Liebenfels,(1)1-2,Beratung / Consulting
92483,Institut Provençana,ES,08901,L’Hospitalet de Llobregat,(1)1-2,Otros
14739,Integra e.V.,DE,58300,Wetter,(5)51-100,Vereine
44785,Intercoiffeur Erich,AT,8184,Anger,(2)3-10,Handwerk
129566,Interfacewerk GmbH,DE,91230,Happurg,(3)11-25,EDV / IT
36906,interlink marketing e. U. Anna Oladejo,AT,1220,Wien,(1)1-2,Beratung / Consulting
76896,International School Augsburg -ISA- gAG,DE,86152,Augsburg,(5)51-100,Bildung / Universität / FH / Schulen
29821,Irene Müller,NL,3551,Utrecht,(1)1-2,Baugewerbe / Architektur
133344,IRIS Soc. Coop. Agricola,IT,26030,Calvatone (CR),(2)3-10,Cibo / Agricoltura / Silvicoltura
92433,ISABA PROJETS S.A.,ES,46290,Alcàsser,(8) Todas las tallas,Otros
32425,Ivo Knoll,AT,9500,Villach,(1)1-2,Dienstleistung
78324,JanKoTec – Zukunft. Nachhaltig. Gestalten.,DE,07646,Weißbach,(1)1-2,Beratung / Consulting
14657,Jaritz- Welten verbinden,AT,9020,Klagenfurt am Wörthersee,(1)1-2,Beratung / Consulting
36736,JELINEK AKADEMIE e.U.,AT,2352,Gumpoldskirchen,(1)1-2,Beratung / Consulting
44816,Jochen Lindenfeld Agentur für Kommunikation,DE,60529,Frankfurt am Main,(1)1-2,Beratung / Consulting
14705,Jochen Siebel,DE,86899,Landsberg am Lech,(1)1-2,Beratung / Consulting
14903,Johanna Paul,DE,13357,Berlin,(1)1-2,Beratung / Consulting
153644,Johannesstift Diakonie Jugendhilfe gGmbH,DE,13587,Berlin,(7)251-500,Gesundheitswesen / Soziales / Pflege
14843,Jonathan Seminarhotel,DE,83339,Chieming/Hart,(3)11-25,Tourismus / Hotel / Gastronomie
50759,Josef Sigl e.U.,AT,5162,Obertrum am See,(4)26-50,Handel / Konsum
14948,Judith Gunkel Unternehmensberatung,DE,22309,Hamburg,(1)1-2,Dienstleistung
32984,Judith Landes Training – Beratung – Mediation,DE,83128,Halfing,(1)1-2,Beratung / Consulting
14658,Jürgen Linsenmaier,DE,73630,Remshalden,(1)1-2,Beratung / Consulting
36536,JUSTUS MATTHIAS – ARCHITEKTEN,DE,14057,Berlin,(1)1-2,Baugewerbe / Architektur
30144,Juwelier Ernst-Walter Poser,DE,41515,Grevenbroich,(2)3-10,Handel / Konsum
44787,K.u.F. Drack GmbH & Co KG,AT,4643,Pettenbach,(4)26-50,Handwerk
65212,K2 Engineering GmbH,DE,38542,Leiferde,(5)51-100,Beratung / Consulting
36746,KAIROS – WIRKUNGSFORSCHUNG & ENTWICKLUNG GEMEINNÜTZIGE GMBH,AT,6900,Bregenz,(2)3-10,Beratung / Consulting
35274,Kaiser & Kühne Freizeitgeräte GmbH,DE,27324,Eystrup,(5)51-100,sonstiges
40219,Kaiser Haus GmbH & Co. KG,DE,37696,Marienmünster,(2)3-10,Baugewerbe / Architektur
14760,Kaiserhof Anif  Hotel-Restaurant-Bar,AT,5081,Anif,(3)11-25,Tourismus / Hotel / Gastronomie
92505,Kaleidos,ES,28010,Madrid,(1)1-2,Otros
29726,Kaltenegger & Partner Architekten ZT GmbH,AT,8160,Weiz,(2)3-10,Baugewerbe / Architektur
65752,Kanzlei Besser Steuerberatungsgesellschaft mbH,DE,12203,Berlin,(2)3-10,Steuerberatung / Wirtschaftsprüfung
36527,KARDEA GmbH,AT,7222,Rohrbach,(1)1-2,Baugewerbe / Architektur
14808,Karl Siegel Produktions GmbH & Co. KG,DE,21682,Stade,(4)26-50,Industrie
14659,Karla Schimmel,BE,9040,"Gent, Belgien",(1)1-2,Beratung / Consulting
25482,KarmaKonsum Christoph Harrach,DE,32805,Horn-Bad Meinberg,(1)1-2,Beratung / Consulting
36951,Karsten Geisler,DE,50735,Köln,(1)1-2,Medien
41051,Kartoffelkombinat – der Verein e.V.,DE,80997,München,(3)11-25,Nahrungsmittel / Land / Forstwirtschaft
101564,Katharina Fiedler,DE,85072,Eichstätt,(1)1-2,Dienstleistung
14844,KBW Katholisches Kreisbildungswerk,DE,83278,Traunstein,(2)3-10,Gesundheitswesen / Soziales / Pflege
80325,Kenneth Alexander Grodotzki,DE,45468,Mülheim an der Ruhr,(1)1-2,Beratung / Consulting
83226,Kieferorthopädie Löwenzahn,DE,96317,Kronach,(2)3-10,Gesundheitswesen / Soziales / Pflege
131839,Kiehne GmbH & Co KG,DE,87527,Ofterschwang,(3)11-25,Tourismus / Hotel / Gastronomie
14941,Kiezbett GbR,DE,10247,Berlin,(1)1-2,Handel / Konsum
46711,Kinder lernen Leben gGmbH,DE,12629,Berlin,(6)101-250,Bildung / Universität / FH / Schulen
41207,Kirchner Konstruktionen GmbH,DE,88250,Weingarten,(6)101-250,Automobil / Automobilzulieferer
14752,kiss the inuit,DE,50670,Köln,(2)3-10,Textilbranche
112044,Kissing und Team GmbH & CO KG,DE,58706,Menden,(3)11-25,Handel / Konsum
44856,klasse idee gGmbH,DE,30655,Hannover,(2)3-10,Tourismus / Hotel / Gastronomie
110308,Klaus Stuckert GmbH und Co. KG,DE,30171,Hannover,(2)3-10,Handwerk
38607,Kleeschulte Erden GmbH & Co. KG,DE,59602,Rüthen,(4)26-50,Nahrungsmittel / Land / Forstwirtschaft
38107,KLEIDERgrün,AT,6800,Feldkirch,(2)3-10,Handel / Konsum
14964,kleindienst outdoor-assisted-development,AT,3822,Karlstein,(1)1-2,Beratung / Consulting
14854,Kleinwechter & Bröker GmbH,DE,48329,Havixbeck,(3)11-25,Handwerk
14967,klien + team Holistische Organisationsberatung,AT,5303,Thalgau,(1)1-2,Beratung / Consulting
41522,Klima Kontor – Planung und Beratung GmbH,DE,22529,Hamburg,(2)3-10,Dienstleistung
135372,Klimahaus Betriebsgesellschaft mbH,DE,28789,Bremerhaven,(6)101-250,Tourismus / Hotel / Gastronomie
152353,Klinglwirt,DE,81669,München,(2)3-10,Tourismus / Hotel / Gastronomie
56534,Kloster Kirchberg – Berneuchener Verein,DE,7212,Sulz am Neckar,(4)26-50,Bildung / Universität / FH / Schulen
36912,KLUFAMILY Familie & Beruf Management GmbH,AT,1020,Wien,(1)1-2,Beratung / Consulting
14855,"Knakruegge, Lutz",DE,79539,Lörrach,(1)1-2,Beratung / Consulting
44803,KOCHUNDSIMON GbR,DE,78462,Konstanz,(1)1-2,Beratung / Consulting
83190,Kollar GmbH,AT,3180,Lilienfeld,(4)26-50,Handwerk
118513,KölnBäder GmbH,DE,50676,Köln,(7)251-500,Sport / Fitness / Beauty
36753,Koloo Projects,AT,1010,Wien,(1)1-2,Beratung / Consulting
55127,Kommunale Dienste Göttingen (KDG) kAöR,DE,37073,Göttingen,(5)51-100,sonstiges
14660,Kortz Konfliktspezialisten,DE,14806,Bad Belzig,(1)1-2,Beratung / Consulting
39616,Krämerei am Markt,DE,57462,Olpe,(2)3-10,Handel / Konsum
82407,KREUZER Medien GmbH,DE,04103,Leipzig,(2)3-10,Medien
106077,Križevci Entrepreneurship Center,HR,48260,Križevci,(2)3-10,Advice / Consulting
33611,kuhs architekten,DE,79100,Freiburg,(2)3-10,Baugewerbe / Architektur
18100,Kulturquartier Münster GmbH,DE,48157,Münster,(2)3-10,Kunst / Kultur / Unterhaltung
14784,Kulturverein Schloss Goldegg,AT,5622,Goldegg,(2)3-10,Kunst / Kultur / Unterhaltung
131833,Kurbetriebe Oberstdorf,DE,87561,Oberstdorf,(4)26-50,Tourismus / Hotel / Gastronomie
14945,Kurt Egger – eku-konstruktiv,AT,5201,Seekirchen am Wallersee,(1)1-2,Beratung / Consulting
14921,KV&P Unternehmensberatung,DE,28879,Grasberg,(2)3-10,Steuerberatung / Wirtschaftsprüfung
14661,La Perla,IT,39033,Colvara,(5)51-100,Tourismus / Hotel / Gastronomie
92445,La Urdimbre,ES,41001,Sevilla,(8) Todas las tallas,Otros
153690,LABORATORIO ECOTECH S.R.L.,UR,,Montevideo,(3)11-25,Industry
89051,Lafim-Diakonie a.V.,DE,14467,Potsdam,(7)>250,Gesundheitswesen / Soziales / Pflege
92353,Lago Becu SL,ES,03892,Cocentaina,(8) Todas las tallas,Otros
62102,lahaye tiedemann gestalten GbR,DE,89073,Ulm,(1)1-2,Marketing / Werbung / PR
14793,"Landesverband Amateurtheater Baden-Württemberg e.V.,",DE,70327,Stuttgart,(2)3-10,Kunst / Kultur / Unterhaltung
14662,Landgut Stober Kontor GmbH & Co. Betriebs KG,DE,14641,Nauen OT Groß Behnitz,(5)51-100,Tourismus / Hotel / Gastronomie
33279,Landimmobilien,DE,79780,Stühlingen-Mauchen,(1)1-2,Immobilien / Facility Management
25485,Landkreis Marburg-Biedenkopf / Eigenbetrieb Jugend- und Kulturförderung,DE,35043,Marburg,(2)3-10,Öffentliche Verwaltung
78890,lands,DE,48143,Münster,(1)1-2,Dienstleistung
44809,LANG HOLZWÄRME GMBH,AT,7023,Pöttelsdorf,(2)3-10,Handwerk
14756,Laube sozial-psychiatrische Aktivitäten GmbH,AT,5400,Hallein,(6)101-250,Gesundheitswesen / Soziales / Pflege
24522,LEBARTE  Johannes Falch,AT,6800,Feldkirch,(2)3-10,Handwerk
36531,LebensArt  GbR,DE,85356,Freising,(2)3-10,Baugewerbe / Architektur
25428,Lebenshilfe Brakel gGmbH,DE,33034,Brakel,(6)101-250,sonstiges
82906,Lebenshilfe Ostallgäu-Kaufbeuren e.V.,DE,87600,Kaufbeuren,(7)>250,Gesundheitswesen / Soziales / Pflege
19870,Lebenshilfe Tirol gem. GmbH,AT,6020,Innsbruck,(7)>250,Gesundheitswesen / Soziales / Pflege
30357,Lebensraum Holz GmbH,DE,83043,Bad Aibling,(2)3-10,Baugewerbe / Architektur
79094,Lebuco e.U.,AT,4040,Linz,(1)1-2,Beratung / Consulting
52981,Lederer Boutique Hotel,AT,5710,Kaprun,(2)3-10,Tourismus / Hotel / Gastronomie
129847,LEDtec GmbH,DE,33142,Büren,(3)11-25,Elektro / Elektronik
112820,Lehm-Laden GmbH & Co. KG,DE,29456,Hitzacker,(2)3-10,Handel / Konsum
20244,Lekido,IT,39011,Lana,(1)1-2,Gesundheitswesen / Soziales / Pflege
14857,Lenz Consulting,AT,6830,Rankweil,(1)1-2,Beratung / Consulting
117420,Leotron Srl Società Benefit,IT,37138,Verona,(3)11-25,Commercio / Consumo
36799,LernSINN erlebBAR e.V.,DE,14656,Brieselang,(1)1-2,Beratung / Consulting
14755,"LEWANDOWSKI Beratung, Analyse, Entwicklung",DE,50674,Köln,(1)1-2,Beratung / Consulting
127545,LichteGeschichte,DE,04103,Leipzig,(1)1-2,Marketing / Werbung / PR
14978,Lichtenborner Kräuteer,DE,37181,Hardegsen-Lichtenborn,(1)1-2,Nahrungsmittel / Land / Forstwirtschaft
14733,liesLotte MEDIEN VERLAG,DE,86169,Augsburg,(2)3-10,Medien
14788,Lilly Deutschland GmbH,DE,61352,Bad Homburg,(7)250-,Medizin / Pharma
141375,Lilly Deutschland GmbH,DE,61352,Bad Homburg,(8)501-1000,Gesundheitswesen / Soziales / Pflege
92515,Limonium Canarias SL,ES,35018,Las Palmas de Gran Canaria,(1)1-2,Otros
22837,Lindig Coaching-Wachstum-Integraton,DE,51491,Overath,(1)1-2,Beratung / Consulting
51855,Liot Kunststofftechnik,AT,9991,Dölsach,(3)11-25,Handwerk
92487,LMC,ES,46022,Valencia,(1)1-2,Otros
93873,Lotta Karotta Bio-Lieferservice OHG,DE,37130,Gleichen-Rittmarshausen,(4)26-50,Nahrungsmittel / Land / Forstwirtschaft
23252,Luisenburg Festspiele,DE,95632,Wunsiedel,(4)26-50,Kunst / Kultur / Unterhaltung
19686,Lux Bau GmbH,AT,3170,Hainfeld,(6)101-250,Baugewerbe / Architektur
36803,LWP Institut Hannover,DE,30453,Hannover,(1)1-2,Beratung / Consulting
92429,Mª Jesús Pérez Domínguez,ES,38003,Santa Cruz de Tenerife,(8) Todas las tallas,Otros
14858,Maas Naturwaren GmbH,DE,33334,Gütersloh,(6)101-250,Textilbranche
19279,Macrolibrarsi di Golden Books S.r.l.,IT,47521,Cesena,(5)51-100,Handel / Konsum
36805,Mae Terra – Seminare Anne Tscharmann & Robert Pilak,AT,7022,Schattendorf,(1)1-2,Beratung / Consulting
104921,Mag. Daniela Christine Schwaiger,AT,5400,Hallein,(1)1-2,Beratung / Consulting
