id,organization,locations_id,employees_id,sectors_id
115235,Bunte Burger GmbH,469,3.0,37.0
90060,Bureau SoSo – Nachhaltiges Grafikdesign,474,1.0,22.0
20449,Bürger-Energie-Genossenschaft Neuburg-Schrobenhausen-Aichach-Eichstätt eG,702,1.0,12.0
30106,BürgerEnergieGenossenschaft eG,498,2.0,12.0
20445,Bürgerenergiegenossenschaft im Landkreis Pfaffenhofen a. d. Ilm eG,680,1.0,12.0
40874,BÜRGERSTIFTUNG PFALZ UND NATURHOTEL STIFTSGUT KEYSERMÜHLE,579,2.0,37.0
36546,Büro für Erneuerbare Energie Ing. Leo Riebenbauer GmbH,155,2.0,12.0
14911,Bürogemeinschaft Sehlbach,228,2.0,16.0
92379,Buscándome Las Habichuelas (BLH),838,\N,26.0
41064,Business School Lausanne,173,4.0,10.0
124365,Business-health,259,1.0,7.0
36749,Busse Franchise Kommunikation,309,1.0,7.0
126586,CAES – Consorzio Assicurativo Etico Solidale,876,2.0,40.0
41321,Café Chrysander,293,2.0,26.0
14775,Cafe Pausenraum,592,1.0,33.0
40892,camera obscura GmbH,222,1.0,23.0
124487,camera obscura GmbH,222,2.0,22.0
64668,Campus National,167,2.0,10.0
92511,Can Cet,811,1.0,26.0
14897,Cappel,166,1.0,7.0
19285,Cappelletti + Bongiovanni Srl,904,2.0,8.0
84326,Capri HotelbetriebsGmbH & Co KG,2,3.0,37.0
36659,cardamom,151,2.0,7.0
57026,CariKids gGmbH,469,5.0,10.0
84555,Caritasverband Arnsberg-Sundern e.V.,507,12.0,16.0
73439,Caritasverband für den Landkreis Emmendingen e.V.,595,6.0,16.0
118354,Caritasverband Köln,469,9.0,16.0
87407,Caritasverband Paderborn e.V.,372,12.0,16.0
90809,Carry Products GmbH,224,2.0,38.0
14759,castello – Wohlfühlhotel in Königsleiten,89,2.0,37.0
14828,"Catucho GbR (Ulrike &Laura Eckhardt), Rösterei",335,1.0,25.0
14829,CCC Druck und Medien GmbH,451,3.0,19.0
92525,Centro de psicología y Coaching Valencia S.L.,858,1.0,26.0
117424,Centro Papa Giovanni XXIII Soc. Cooperativa Soc,907,4.0,16.0
117428,Cha Maria Srl Società Benefit,871,4.0,16.0
24834,Chemical Check GmbH,370,4.0,33.0
92387,Chocolates Artesanos Isabel,849,\N,26.0
14929,Christian Felber,7,2.0,26.0
14898,Christian Jensen Kolleg,329,4.0,10.0
90051,Christian Jensen Kolleg gemeinnützige GmbH Breklum,329,3.0,10.0
133954,Christian Rüther e.U.,7,\N,7.0
124336,Christine Ehlers-werterleben,219,1.0,7.0
14783,"Christof Bader KG – Fliesen, Kachelöfen, Natursteine",84,2.0,6.0
37751,Christoph Spahn,578,1.0,7.0
14766,"cibaria GmbH, ökologisch-biologische Vollkornbäckerei",454,4.0,8.0
92343,Circuitos Aljarafe,848,\N,26.0
59060,Claudia Schleicher | Engagement & Change,423,1.0,7.0
92437,Club de Fútbol Popular Orihuela Deportiva,797,\N,26.0
14816,CMP Competent Management Partners AG,181,1.0,7.0
34187,Coaching Zahn,652,1.0,33.0
30127,Condrobs e.V.,626,12.0,16.0
14989,confideon Unternehmensberatung GmbH,225,3.0,7.0
93959,ConPlusUltra GmbH,31,4.0,7.0
14769,conSalis e.Gen.,62,2.0,7.0
14738,Contecta immobilienvewwaltung GmbH,690,3.0,30.0
84610,Content5 AG,621,3.0,7.0
14931,CONTIGO Fairtrade GmbH,405,6.0,38.0
36656,Cornelia Burth,317,1.0,7.0
44720,Corona Bürotechnik GmbH,252,2.0,11.0
30962,corsus corporate sustainability GmbH,312,2.0,7.0
153840,corsus corporate sustainability GmbH,291,10.0,7.0
14669,"Cosyma, EPU",548,1.0,7.0
92403,Coworking Nomad,833,\N,26.0
62168,cramer & müller service GmbH & Co. KG / cramer müller & partner consulting PartG,509,2.0,7.0
92409,CREARQCIO COOP. V,852,\N,26.0
44713,Createur de Interieur – Ing. Christian Supola,138,1.0,8.0
45149,CRM – Coastal Research & Management,320,2.0,26.0
104639,CrossmarX,911,2.0,35.0
92419,Crowd Spain S.L,833,\N,26.0
40169,Ctn Consulting,98,1.0,7.0
92363,Cuinatur,813,\N,26.0
14670,Culumnatura,19,3.0,26.0
14830,"Czeczatka, Werner & Partner Steuerberatungsgesellschaft",396,4.0,14.0
35297,D-QuESTioN,276,\N,10.0
93961,da-ka hausbetreuungs GmbH,16,5.0,30.0
140348,Dachstiftung Diakonie,417,10.0,16.0
