id,postal_code,city,country_id
223,10717,Berlin,4
224,10777,Berlin,4
225,10823,Berlin,4
226,10827,Berlin,4
227,10829,Berlin,4
228,10961,Berlin,4
229,10963,Berlin,4
230,10965,Berlin,4
231,10967,Berlin,4
232,10969,Berlin,4
233,10999,Berlin,4
234,1111,YYYY Testort,4
235,11361,Cairo,4
236,12047,Berlin,4
237,12053,Berlin,4
238,12057,Berlin,4
239,12099,Berlin,4
240,12103,Berlin,4
241,12109,Berlin,4
242,12157,Berlin,4
243,12161,Berlin,4
244,12167,Berlin,4
245,12203,Berlin,4
246,12435,Berlin,4
247,12437,Berlin,4
248,12489,Berlin,4
249,12555,Berlin,4
250,12623,Berlin,4
251,12629,Berlin,4
252,12681,Berlin,4
253,13086,Berlin,4
254,13187,Berlin,4
255,13355,Berlin,4
256,13357,Berlin,4
257,13469,Berlin,4
258,13503,Berlin,4
259,13507,Berlin,4
260,13587,Berlin,4
261,14057,Berlin,4
262,14089,Berlin,4
263,14119,Berlin,4
264,14129,Berlin,4
265,14467,Potsdam,4
266,14480,Potsdam,4
267,14548,Schwielowsee,4
268,14612,Falkensee,4
269,14641,Nauen OT Groß Behnitz,4
270,14656,Brieselang,4
271,14770,Brandenburg an der Havel,4
272,14797,Kloster Lehnin,4
273,14806,Bad Belzig,4
274,16227,Eberswalde,4
275,16348,Wandlitz,4
276,16818,Walsleben,4
277,16831,Rheinsberg,4
278,18059,Rostock,4
279,18445,Nisdorf,4
280,18532,Tuttlingen,4
281,19053,Schwerin,4
282,19309,Lenzen,4
283,20095,Hamburg,4
284,20148,Hamburg,4
285,20251,Hamburg,4
286,20253,Hamburg,4
287,20259,Hamburg,4
288,20357,Hamburg,4
289,20359,Hamburg,4
290,20457,Hamburg,4
291,20459,Hamburg,4
292,20537,Hamburg,4
293,21029,Hamburg,4
294,21035,Hamburg,4
295,21073,Hamburg,4
296,21079,Hamburg,4
297,21147,Hamburg,4
298,21218,Seevetal,4
299,21423,Winsen/Luhe,4
300,21682,Stade,4
301,22041,Hamburg,4
302,22043,Hamburg,4
303,22145,Hamburg,4
304,22299,Hamburg,4
305,22309,Hamburg,4
306,22335,Hamburg,4
307,22337,Hamburg,4
308,22417,Hamburg,4
309,22453,Hamburg,4
310,22525,Hamburg,4
311,22529,Hamburg,4
312,22765,Hamburg,4
313,22769,Hamburg,4
314,22850,Norderstedt,4
315,22869,Schenefeld,4
316,22955,Hoisdorf,4
317,23056,Hamburg,4
318,23570,lübeck,4
319,23948,Stellshagen,4
320,24159,Kiel,4
321,24568,Kaltenkirchen,4
322,24632,Lentföhrden,4
323,24937,Flensburg,4
324,24977,Ringsberg,4
325,25348,Glückstadt,4
326,25358,Horst (Holstein),4
327,25474,Ellerbek,4
328,25813,Husum,4
329,25821,Breklum,4
330,25923,Ellhöft,4
331,26121,Oldenburg,4
332,26844,Jemgum,4
333,26919,Brake,4
334,27324,Eystrup,4
335,27333,Bücken,4
336,27568,Bremerhaven,4
337,27624,Geestland,4
338,28199,Bremen,4
339,28215,Bremen,4
340,28217,Bremen,4
341,28357,Bremen,4
342,28719,Bremerhaven,4
343,28789,Bremerhaven,4
344,28879,Grasberg,4
345,29223,Celle,4
346,29389,Bad Bodenteich,4
347,29410,Salzwedel,4
348,29439,Lüchow,4
349,29456,Hitzacker,4
350,29468,Bergen an der Dumme,4
351,29471,Gartow,4
352,29478,Höhbeck,4
353,29559,Wrestedt,4
354,30171,Hannover,4
355,30173,Hannover,4
356,30177,Hannover,4
357,30451,Hannover,4
358,30453,Hannover,4
359,30655,Hannover,4
360,30659,Hannover,4
361,30966,Hemmingen,4
362,31171,Nordstemmen,4
363,31582,Nienburg/Weser,4
364,32120,Hiddenhausen,4
365,32584,Löhne,4
366,32756,Detmold,4
367,32758,Detmold,4
368,32791,Lage,4
369,32805,Horn-Bad Meinberg,4
370,32839,Steinheim,4
371,33034,Brakel,4
372,33098,Paderborn,4
373,33104,Paderborn,4
374,33142,Büren,4
375,33154,Salzkotten,4
